Date,Open,High,Low,Close,Volume,Market Cap
Apr-02-2022,46249.9684,47025.37805,45768.23516,45845.95756,68534723185.777700,882428839235.877000
Apr-01-2022,45520.19684,46608.67518,44376.97933,46231.00476,82428634329.644500,864912314319.151000
Mar-31-2022,47055.99305,47559.98455,45380.4937,45540.82639,64306786075.651500,886483715248.607000
Mar-30-2022,47442.24333,47686.71894,46698.33856,47100.45937,60347299811.555500,897335595157.790000
Mar-29-2022,47086.20129,47988.53829,47032.00503,47498.66565,64970232760.888800,903107803449.713000
Mar-28-2022,46824.60641,48129.97387,46711.00479,46888.22115,72557284890.759500,898470120345.884000
Mar-27-2022,44532.13385,46842.71955,44438.29619,46842.71955,38989618744.888800,853605708449.228000
Mar-26-2022,44314.41581,44769.8851,44162.89066,44533.21742,52033351153.777700,843029009115.295000
Mar-25-2022,43997.59787,45054.744,43775.9828,44365.18255,64975617208.888800,840819908970.963000
Mar-24-2022,42901.78799,44196.38125,42726.38466,43948.89113,58305154460.444400,822842858825.653000
Mar-23-2022,42362.02323,42925.97798,41810.05689,42925.97798,55434469875.512100,802216470987.200000
Mar-22-2022,41064.53843,43176.92782,40940.05474,42376.74422,66069747399.111100,805991263113.640000
Mar-21-2022,41219.86354,41498.26617,40534.25117,41051.83346,48679170659.555500,780302969090.370000
Mar-20-2022,42207.51024,42279.9997,40980.51146,41252.05199,39440414008.888800,790398950958.880000
Mar-19-2022,41752.50102,42357.0528,41585.95812,42166.22954,47396630065.777700,794482952303.178000
Mar-18-2022,40912.96043,42231.7199,40255.88647,41767.09817,53167419719.111100,777374367214.834000
Mar-17-2022,41115.36918,41306.80617,40600.029,40958.22516,68916952832.000000,776343262406.204000
Mar-16-2022,39301.17956,41538.6006,38964.63682,41147.27989,74235084060.444400,763561055615.359000
Mar-15-2022,39669.01847,39805.39961,38230.9419,39302.01679,54149954759.111100,740438348991.708000
Mar-14-2022,37784.66665,39808.38173,37590.8815,39599.02437,47001002609.777700,735083105284.884000
Mar-13-2022,38803.98637,39220.9441,37670.38924,37824.35153,33924499228.444400,738309972282.596000
Mar-12-2022,38729.04139,39321.4025,38722.9222,38875.98605,56650400298.666600,742192664746.499000
Mar-11-2022,39427.62799,40118.98829,38291.8488,38770.04591,73106728689.777700,739416933555.195000
Mar-10-2022,41950.43524,42002.18786,38770.03143,39461.35102,117700388864.000000,751963347858.483000
Mar-09-2022,38741.22398,42508.69721,38680.08468,41955.06532,81739633848.888800,788164037667.263000
Mar-08-2022,38021.16231,39333.7131,38021.16231,38724.82009,87695148501.333300,733186143516.767000
Mar-07-2022,38398.93546,39399.96846,37172.81813,37991.87947,61781654513.777700,725961264635.000000
Mar-06-2022,39399.035,39637.1481,38155.2867,38385.18525,40023234666.666600,740361513818.548000
